x_min	y_min	x_max	y_max	object_count	assess
0	0	90	92	19970	3.6666666666667
91	0	115	140	523615	3
116	0	192	140	907675	1.3333333333333
193	0	220	140	732288	2.6666666666667
221	0	255	140	872971	2.3333333333333
0	93	90	123	874546	1.6666666666667
0	124	90	140	690607	2.3333333333333
0	141	27	155	79256	2.3333333333333
28	141	47	155	779646	2
48	141	54	155	611681	2.3333333333333
55	141	65	148	262197	2.3333333333333
66	141	104	147	472817	3
105	141	123	165	618000	2
124	141	140	156	316912	2
141	141	152	165	1087757	1.3333333333333
153	141	165	166	772211	2.3333333333333
166	141	193	166	468392	2.3333333333333
194	141	217	166	422184	2
218	141	255	150	68529	3.3333333333333
66	148	104	152	905299	2.6666666666667
55	149	61	152	1023027	1.3333333333333
62	149	65	152	476135	2
218	151	255	152	465147	3.6666666666667
55	153	62	156	1045996	1.3333333333333
63	153	66	155	462162	2
67	153	71	154	972556	1
72	153	77	157	802580	1
78	153	104	179	814936	1
218	153	255	153	649512	3.3333333333333
218	154	221	154	66376	4
222	154	222	154	229633	2.6666666666667
223	154	223	154	134076	2.3333333333333
224	154	229	154	926787	2.3333333333333
230	154	255	154	0	5.6666666666667
67	155	71	157	1120521	0.66666666666667
218	155	255	155	1166612	3
0	156	39	164	83641	3
40	156	44	158	811007	0.66666666666667
45	156	54	159	847595	1.6666666666667
63	156	66	159	635355	1.6666666666667
218	156	255	158	837046	2.6666666666667
55	157	62	159	586444	2.3333333333333
124	157	140	160	901332	1.6666666666667
67	158	70	160	653747	1.3333333333333
71	158	73	161	845042	1
74	158	77	159	470030	2.6666666666667
40	159	44	164	802365	1
218	159	255	166	493895	2.6666666666667
45	160	54	164	418548	2
55	160	59	163	239273	2.3333333333333
60	160	63	163	618333	2.3333333333333
64	160	66	163	477380	2.6666666666667
74	160	77	161	624832	2
67	161	70	163	433304	1.3333333333333
124	161	127	165	399306	2.3333333333333
128	161	131	165	839976	1.6666666666667
132	161	135	163	383539	2
136	161	140	165	921242	0.66666666666667
71	162	77	163	907149	1.3333333333333
55	164	64	179	906616	1.3333333333333
65	164	77	179	1010426	1.3333333333333
132	164	135	165	711121	1.6666666666667
0	165	54	169	1100522	2.6666666666667
105	166	129	169	920837	2
130	166	132	168	365029	2
133	166	135	166	646362	2
136	166	137	168	866137	2
138	166	142	168	1007538	0.66666666666667
143	166	152	179	841460	1.3333333333333
133	167	135	167	753223	2.3333333333333
153	167	164	255	830046	2.6666666666667
165	167	183	255	421957	3
184	167	255	255	224589	2.3333333333333
133	168	135	168	739736	2.3333333333333
130	169	135	169	1020186	1.6666666666667
136	169	137	169	223347	2.3333333333333
138	169	142	173	829839	0.66666666666667
0	170	54	179	903259	2.3333333333333
105	170	129	170	741774	3.3333333333333
130	170	131	171	994704	1.3333333333333
132	170	132	171	736390	1.6666666666667
133	170	134	171	929217	1
135	170	137	171	809941	1.3333333333333
105	171	129	172	1140147	3.3333333333333
130	172	131	173	89998	2.3333333333333
132	172	137	173	1007529	1.6666666666667
105	173	129	179	894264	2
130	174	142	179	862189	1
0	180	54	255	213989	2
55	180	104	255	66452	2
105	180	137	255	316441	2.6666666666667
138	180	152	255	1000727	2.3333333333333
